Author,Rating,Helpful_upVotes,Helpful_downVotes,Summary,Review,Compound,Sentiment_label,Negative,Neutral,Positive
tahiatasnimnazah,10.0,25,8,soothing drama,love crime thriller drama sometimes lighthearted soothing drama needed king land beautiful peaceful drama loving chemistry lead getting interesting sweet scene melting seriously anyone hate dont know anyways ill definitely recommend people watch king land lee jun ho kim yoo na really got show amazing cute side drama previous drama sad ending drama happy romcom drama feel blessed ddd even mentioned relatable dialogue previous drama found unique,0.9887,positive,0.111,0.433,0.457
8avian,9.0,1,1,cdrama korean star,part herd blindly obsessed star blame hater without seeing badly production made saw original production leaf feeling counterfeit copy country produce jewelry advertised yoona junho professional grandmother professional old president cast would total fiasco terribly poorly written annoying insistence product placement chinese jewelry proposal scene postponed german car ramyun others even scene production copied inserted without inspiration make direction bad editing also part deficient course condition acting actor seems best level korean production quality terrible closer cinderella bos cdrama korean actor saved fan desire see beloved star wedding,-0.7203,negative,0.232,0.587,0.181
jaswynsumbise,10.0,92,47,good chemistry lead role,amid tense inheritance fight charming heir clash hardworking employee who known irresistible smile cannot stand title king land majestic tale love power sacrificeking land captivating korean drama mesmerizes audience grandeur heartfelt performance intricate plotline starring talented duo lee junho im yoonah series weave tale love duty backdrop kingdom turmoillee junho delivers commanding performance prince lee minwoo conflicted heir throne portrayal effortlessly capture internal struggle prince torn desire freedom responsibility people charismatic presence emotional depth junho brings compelling vulnerability character making relatable endearingim yoonah shine princess kang sooyeon resilient intelligent noblewoman becomes entangled political machination royal court yoonahs portrayal showcase versatility actress displaying strength vulnerability character navigates treacherous water chemistry junho yoonah palpable adding depth intensity romantic storylinethe plot king land tapestry political intrigue power struggle forbidden love writing engrossing filled unexpected twist turn keep viewer edge seat narrative explores theme duty sacrifice consequence one choice creating compelling thoughtprovoking storylinethe production value drama exceptional transporting viewer visually stunning world elaborate set design breathtaking landscape opulent costume create rich immersive experience attention detail capturing essence historical period commendable adding authenticity storytellingthe supporting cast king land equally commendable actor delivering strong performance enhance overall narrative memorable character loyal advisor cunning courtier conflicted ally provide additional layer depth intriguehowever minor flaw worth mentioning time pacing drama feel uneven certain episode feeling rushed others slower progression additionally character arc could developed side character felt underutilized story unresolveddespite minor shortcoming king land captivating emotionally resonant kdrama leaf lasting impact chemistry lee junho im yoonah combined gripping storyline impressive production value make series mustwatch fan genre prepare enthralled grandeur kingdom complexity character profound theme resonate long final episode,0.9973,positive,0.053,0.666,0.281
dbk-78658,10.0,80,41,dont understand hate,started slow typical kdramas probably reason bad review saw junho first time red sleeve performance mesmerizing decided watch king land started cute lighthearted romcom slowly turned heartwarming romance chemistry incredible lead kiss scene one beautiful romantic endearing scene ever watched never scene anything real either incredible actor relationship know besides couple boring episode series excellent,0.9628,positive,0.076,0.589,0.335
zafarasma-48855,10.0,5,0,amazing,light hearted drama one get quickly connected character chemistry lead actor superbthe storyline good specially development relationship main lead well co star struggle employee shown light way impressive negative character also realistic relatablei would suggest drama k drma lover really fun watch enjoy every moment itso recommendation watch love romcom dramasthe acting pretty good specially male lead really get attention start,0.9734,positive,0.071,0.58,0.349
jackybrown22,6.0,0,6,,really really love jun ho red sleeve anticipating great thing series sad say fell short positive everyone look great perfect lighting makeup clothing favourite elder actress also plus kiss well greatbut fell short content depth boring first four episode tuned deciding come back episode available engaging episode struggling get episode even found fast forwarding scene oteke get episode see redeems give higher score,0.9656,positive,0.093,0.592,0.314
justaview-06672,7.0,0,0,cute simpe lovestory,youre looking lighthearted romcom sweet main couple one story simple still engaging enough character enjoyable yet deep like kdramas main couple doesnt break getting together often enough seems overly dramatic kind land delivers two main lead sweet good kiss even lot although could interesting dialogue second couple story also cute still humour quite silly time plot around third friend lazy husband doesnt really add anything isnt much developmentoverall simple cute romance good chemistry main character,0.9918,positive,0.023,0.527,0.45
originalavaone-28070,10.0,5,0,truly loved,shocked series better rating guess need watch actor director work understand others see entertainingit complete gem watched series least time entertained first episode till last wish would another season would purchase series available buy fell love character light fun fall love character well done opinion deserved verse,0.9628,positive,0.036,0.615,0.349
angelpoku,10.0,10,2,lovely,saying fan lead character enjoy show disagree loved king land idea either idol finale aired ktl quirky fun lot fluff without major life ending doom seen many drama mild hurdle overcome romcom relief watch something didnt leave tear toward end series want unwind heart warming humorous story would recommend watching one definitely watching future,0.9604,positive,0.072,0.554,0.374
lostpoetsociety,9.0,1,2,great kdrama,start great immediately creates perfect cozy romcoms vibe pinch mystery lead great chemistry chemistrying really good enemy lover situation going get hooked however big however start right lead get together cause thats literally interesting anymore like watching couple moment point tiring absolutely boring stopped watching decided continue cause dont like leaving show midway couldnt trust tried,0.9565,positive,0.135,0.517,0.348
senguptasunipa,10.0,66,36,oe best romcom,people watched liked itplease watch something else wonderful romcom drama make laugh brings smile think chemistry lead make interesting watchable lovable acting captivating cant wait finish series would rate simple yet good story picturesque jeju island surroundings shown drama add beauty relatability lee junho best like red sleeve yoona done great job story may repetition old story matter good laugh cute romantic scene make drama lovable stressbuster want feelgood time advice would definitely watch drama good time sohermes smile,0.9962,positive,0.0,0.463,0.537
ceedoubleyou,7.0,0,0,didnt quite hit mark,expecting lot set high class hotel leejunho im yoonah top notch first time seeing fairly predictable commoner attracting eye prince character main female character seemed got cushy ride top hiccup expecting prince character got way quite easily everything touched worked always expect kim youngok play part minor didnt disappoint lot kdramas ending anti climatic everyting tied neat little bow neat,0.9408,positive,0.031,0.695,0.273
oliver-17424,10.0,39,20,fun relaxing drama,ive finished episode say really enjoyed watching drama lighthearted cheesy kdrama actor chemistry opinion cant wait see dont understand get many bad rating definitely best worst either clearly see wanted deliver easy digest show perfect lazy weekend cinematography also nice quite cheesy shot may everyone kind drama definitely appeal im looking forward next episode see actor,0.9657,positive,0.119,0.508,0.372
poppypoppins-143,1.0,263,385,disappointed surprised,watched top tv show couldnt get pas episode minute show already cringe comedy forced cornyi loved junho red sleeve definitely one yoona still mediocre actress lack facial expression good thing theyre good looking zero chemistry allif could rate little would cant believe spent precious hour trying watch itlesson learned drama actor popular doesnt mean good,0.9202,positive,0.111,0.589,0.3
faridbernamonti,9.0,28,13,really good time,okay seen poor rating show mixed reviewsill give honest opinion show youre undecided whether watch please read thisking land one show dont take seriously genre id say pretty goodyou see cool beautiful location good looking actor funny time everything made make feel good moment work youre right mood itfor tv show like food actually like food lot way consume themand time sure id go high quality steak sometimes id rather go eat junk foodthis show want watch something chill cute light youre mood youll likely good timeif try take show seriously compare giant well wont wellabout actor think theyre pretty good minor charactersso really good show,0.9919,positive,0.035,0.584,0.381
vxemy,10.0,7,1,subversive modern take clich,people often forget difference trope clich trope recurring element frequently used literary device whereas cliche reflects pattern longer effective ktl us rich man fall love poor woman way previous show know show focus working class rightly critique way company take advantage worker providing humanitarian perspective happen show also critique view korean culture divorced woman concept men head household ktl take modern even controversial concept like cake layer highchemistry romance comedy commits bit topping drama several trope present subversive well invite watch observe treat way realistic humane directly prevents becoming clichs show level self awareness show unapologetically genuine rare certainly one gem actor incredible pacing great mini binge please watch,0.9806,positive,0.063,0.653,0.284
Angel-watches-movies,10.0,13,4,cute lovablegreat chemistry,ignore bad review overreactingif liked business proposal also love oneok yes strong story cute funny romance extreme overdramarical scene cute drama strong lead couple good chemistry together kissingscenes enjoyable awkward kissing scene everything filmed beautifully get sister character thats maybe point didnt likeit relaxing watching drama want nice relaxing evening glass wine dramatical scene watch thistry least episode making mind love corny romantic kdramas absolutely love really need heavy story action hate review unfair,0.9895,positive,0.156,0.389,0.454
nickirasmussen-96980,10.0,4,0,dont misguided rating,show incredibly cute wholesome fun refreshing also see female lead happygolucky girl able stand ground wellsome enjoyable side character especially cute nd story incredible chemistry character great pacing captivating personalitiesdont misguided show rating recovered star ratingthats good show actually,0.964,positive,0.0,0.622,0.378
kelsymccoy,10.0,4,0,rough start worth finale best ive seen kdrama great chemistry,hated lead male character first episode becomes likeable episode series much enjoy get past rough relationship building episode beginning rough became sweet loved character loved creation sibling loved humor loved chemistry lead female really likeableand friend final episode gave exactly needed wanted show able end season way viewer feel satisfied loose end show left loose end satisfying finale,0.9826,positive,0.098,0.477,0.425
adnansaeed-58556,10.0,4,0,heartwarming kdrama,realm kdramas heart meet humor netflixs king land stand jewel series capture essence romantic comedy delivering narrative thats engaging endearing show premise simple yet captivating following unlikely romance wealthy heir diligent employee classic trope revitalized electric chemistry lead lee junho im yoonah whose performance nothing short magneticking land excels storytelling balancing scale humor heart deft touch comedic element woven seamlessly fabric drama ensuring laugh never detract emotional depth series masterclass timing tone episode crafted elicit full spectrum emotion viewersthe cinematography king land deserves special mention frame visual feast capturing nuanced expression character vibrant setting clarity enhances storytelling soundtrack character right melody underscore emotional beat series linger audience long credit rollat core king land universal quest love acceptance narrative resonates viewer explores theme identity ambition courage defy societal expectation series doesnt shy away complexity life instead embrace weaving fabric romantic talethe supporting cast king land add richness series character contributing story depth interaction main supporting character delight providing moment levity poignancy round viewing experienceking land also celebration little moment make love story series find joy ordinary magic mundane show invite audience laugh feel fall love character journey thats much destination moment along wayin conclusion king land series stand testament enduring appeal romantic comedy genre charming cast witty writing heartfelt storytelling show promise journey laughter love everything looking swept foot king land netflix perfect choice series leave smiling reflecting eagerly awaiting next episodeso whether youre seasoned kdrama aficionado newcomer genre king land series missed heartwarming tale prof come storytelling simplest tale often profound king land reminder world sometimes feel overwhelming there always room story brings u back basic love laughter connection,0.999,positive,0.017,0.612,0.37
jade8855,9.0,4,0,green flag,sure hate show dont think review legit show cute sweet absolutely feelgood romance lot fluff gu every green flag book sa rang actually female lead deserves love hardworking competent woman lofty aspiration love portrayal solidly healthy relationship lead second lead relationship also amazing theyre really raising bar people relationship actually treat im itdont listen hate one give shot even though bit slowerpaced one absolutely worth time,0.9773,positive,0.078,0.56,0.362
aspprakash,9.0,12,4,great show cant imagine hate,anyone looking motivation watch go big thumb upat first went negative reviewsbut believe decide loved story basic cute detailsmy god travel scene cute little gesture male lead generosity act narcissistic time show call anyone friendship beautifully articulated story everybody fitting exactly way shown smile throughout episodesit would slow startbut get betteras good thing happen waitxoxo,0.975,positive,0.048,0.568,0.384
potionsfoo,10.0,8,2,light hearted rom com dash drama,love surprise deviate typical kdrama trope refreshing loled moment drama never take seriously swoonworthy couple chemistry mainly alpha vibe lee jun ho found lighter better paced better known kdramas fair amount product placement there heart fluttering rom there com there eye candy there unusual character wonderful friendship one wish show bit real life couple journey work drama fill dont get hate never marketed serious show,0.9786,positive,0.0,0.647,0.353
winniefred-14842,10.0,8,2,must watch,first didnt want watch drama bad review everyone thought wasnt good release first episodesbut want say great drama must watch im sucker romantic drama far exceeded expectation feel chemistry female male lead somewhat hotel experience notice scene portray happens hotel setting especially employee perspective cast drama great actor didnt notice cast didnt portray right emotion whether sadness betrayal genuine friendship loyalty love also wasnt expecting male lead genuine kind nature everything felt really personal regardless reason honestly cant wait see final two episodesi dont usually write review think drama deserving cast crew put much effort wouldnt fair discredit effort star review people watched drama shallow mindsetwatch drama open mind feel love happiness genuine friendship drama brings write review worthy rating go people put much effort bring drama life see reward hard work,0.9806,positive,0.123,0.621,0.255
sangeetpillai12,10.0,8,2,unbelievable rating,im glad didnt check rating diving korean tv series true gem impeccably crafted overflowing romance interspersed unexpected thrilling twist exactly romantic story absolute delight start finish guaranteed elevate dopamine level addictive heartwarming romance im genuinely surprised low imdb rating consider opinion various viewer unquestionably deserves least direction editing topnotch protagonist charisma grows episodeone aspect particularly enjoyed overarching theme wealth opulence world many series movie often explore theme calamity poverty lack sadness fear series stand perfect mental reset long day offering surreal journey filled hope prosperity opportunity happiness love friendship youre looking unwind escape world positivity series mustwatch,0.9926,positive,0.102,0.491,0.406
softiehopie,10.0,8,2,great,expect kdrama good romance good comedy loved character show may masterpiece real kdramawith really understand low rating great show voted star low rating probably disappointing actress see may cause cancel show want watch sure rating dont worry watch wont regret hope dont cancel get proper ending deserve enjoy,0.9689,positive,0.18,0.375,0.445
dipnalawade,10.0,8,2,amazing must watch romcom,honestly expecting get obsessed drama extent randomly started watching morning coffee called sick office finish episode single day obsessed fan kdramas series refreshing genuine well acted best dialogue full emotion comedy edge perfect way character developed series paced bang absolutely loved everyone acted well gradual change lead character pleasant overall give hope good lovely vibessurprise shocked see negative comment unbelievable,0.9778,positive,0.136,0.449,0.415
pongenerawa,10.0,8,2,good fun also quite sentimental drama watch,everything start writing apologize writing review incorrect grammar offend anyone sorry also writing review perspective false info drama please forgive let u begin mean story line visuals acting omg know everyone reading review either agree happy disagree opinion totally understand respect interested dramai excited write review right let tell alright first ep quite interesting funny wholesome drama watch right finished watching ep excitingly waiting ep air far satisfied story line visuals acting happy aahin k drama course romance friendship sadness learning valuable lesson drama teach u fun friend also telling u okay cry feeling one scene ep really liked supported gu wonlee jun ho telling nephew spent much time beforeto cry fine expressive open emotion overall also like child involved drama also portrays child feel happy sad adult also give advice play child drama therefore making wholesome drama mentioned earlier say think feel like watching drama end review wait thing need tell lee jun hogu im yoonahcheon saranghave spectacular chemistry screen watching drama kissasian hope word helpful enjoy watching drama,0.996,positive,0.079,0.553,0.368
cellonorthman,2.0,124,194,gave many goosebump facial wrinkle,youre aegyo andor yoonas fan youll enjoy show im interested either one didnt like show personally cannot tolerate aegyo may biased tried something new much aegyo handle cornycheesythey def copied many idea nerflix show business proposal yet nothing like cant even compare average acting boring plot show made main girlthe reason added another star bc like girl couple funny moment show isnt,0.3335,positive,0.143,0.708,0.148
emilysmithsuri,10.0,8,2,amazing show must watch,cant believe bad review dont watch korean tv normally show amazing cheesy moment absolutely seen state american tv bad review must bot paid troll cant help love show im completely mesmerized king land adorable cinematography refreshingly unique youre looking experience tiny bit new culture show perfect actor great job wonderful escape reality review required long wonder troll come vent minimum word great show,0.976,positive,0.064,0.593,0.342
saahaar,10.0,8,2,hater watch show number watched unenglish netflix,kdrama fan since year agoso think im experienced enough comment trulyi think drama amazing everythingactors chemistry comedystory everythingi really fell love really dont understand low rating hate comment know every time see lot enemy way sure greatestlet tell something doubt watching yet chemistry two lead character comedy much enough make love promise wont disappointthe chemistry thing everyone talking dating yoona junho feel feeling honestly every moment together make stomach butterfly fly,0.9519,positive,0.101,0.601,0.298
haniyarehman-31182,10.0,28,16,amazing,show good show perfect chemistry two main lead plot romance good deserves recognition get complete blend business proposal whats wrong secretary kim addition plot vibe atmosphere truly good enjoy show much wait every weekend watch show cant wait see happens next two actor good chemistry show behind scene well good see show main lead cant wait see episode romance comedy good,0.9871,positive,0.035,0.527,0.438
lamessaleh,2.0,127,236,great disappointment,love lee jun ho lim yoona show broken rule first episode best korean dramapainfully expected first secit example bad script teach young scriptwriter plot storyline horriblethis drama survive main actor charismatic ton fansyou think lee junho yoona professional choose bad script goif want watch something youre dentist want rest work something like bad fast food meal course youre teenager love dramawaste money time effort hundred people,0.4767,positive,0.156,0.641,0.203
bagabrr,10.0,6,1,lighthearted fun,good lighthearted drama give old kdrama romcom missed drama may cliche buy also little twist healing way make check real world little bit easy watch need much thinking taken seriously chemistry two lead perfection carried show mature relationship show first two episode may seem slow later pacing pick quickly also showcased struggle different working woman work environment,0.8632,positive,0.089,0.7,0.212
mailmenkp,10.0,6,1,never feel boring,even single moment fully engaged entertained never feel bored even single momenti surprised see low rating created new acount rate clearly guess fancan explain word see first episode see interesting becomesdo watch like emotional rom comwell explain feeling show actually one best kind king land addictive popular lead chemistry love comedy twist happiness sweet sadness everything,0.9894,positive,0.057,0.419,0.525
vannacilla,10.0,6,1,positive feeling tv series,first episode totally hooked main character believable whole series validated importance sincerity honesty personal integrity great advertisement south korea love story cherry cakeanother feature truly enjoyed various relationship introduced story work friendship family one also intriguing conflict aspect corporate world openly presented ambition self recognition also antagonistic feeling well jealousy within capitalistic society well presented humour tender sweetness permeated part episode whole wonderful entertaining series filled joy contentment,0.9919,positive,0.068,0.44,0.492
undeadhowie,10.0,6,1,take notice terrible rating drama,king land exceeded expectationsi wasnt going watch due bad rating seen lot good thing said fb page gave ago pleased didthis drama made laugh cry everything inbetween lead great likable character acting fab supporting cast worthy character one stood waste script well written real cinematography spot everything brilliantthe story pretty much drama speciaity high statuslow status love done fabulouslyit good drama top watch another k drama yep doubt dont amazing,0.971,positive,0.143,0.487,0.37
bakaeunji,10.0,9,3,fun silly instant kdrama classic,youve never seen kdrama cant fully appreciate wonderful show instant kdrama classic follows usual trope fun way youll definitely enjoy one truly seasoned kdrama fan there many funny moment really didnt expect good timethe lead actor hilarious yoona perfect alwaysexpect silly moment typical kdrama trope modernised way truly feel good show scratch kdrama itch dont listen review bomber clearly strategic whatever reason,0.9544,positive,0.125,0.532,0.344
KalpeshHemant4,8.0,9,3,endearing joy watch,cannot understand review bombing shameful show movie review bombed opposite form propaganda disinformation surely imdb somehow protect happening time time againking land joy watch heartfelt nearly every character likeablethe lead great chemistry supporting cast toothe visuals setting gorgeous entire production flawless technically everything show beautifulsouth korea investment directive entertainment really paying offmost production enticing promote country people culture well even including thailand timei enjoyed series recommend want hopeful stressfree seriesthe respect elder always appreciated kdramas grandmother king land absolute favouritethe funny sidekick endearing great talented actorsi could perhaps without silly sound effect humour scene thats nitpick preferencei hope watch entire series thoroughly enjoy much,0.9963,positive,0.04,0.502,0.458
hartleycolleen,9.0,13,6,talented cast load chemistry,episode end lean serious romance one cannot help respect emotional journey two actor junho yoona take audience private moment storyline could feel heartbeat intensity acting wonder many time scene replayed global audience ive set easy scene pull dozen people foot away causing distraction hot set electricity water something intimate might know well director may recorded scene order story unfolds chuckle asking permission respectful moment relationship course somewhere human resource professional watching saying thank goodnessjunhoheartbeatsforyoona,0.8245,positive,0.113,0.7,0.187
ashleyjoan-15387,9.0,13,6,summer romcom,ive watched many drama king land comedic reference slapstick scene reminded fell love k drama first placethe drama lighthearted junho yoona need win best couple award best kiss scene amazing acting onscreen offscreen chemistrywhile indeed flaw script writing poor research done referencing prince samirs episode totally understandable people upset casting distortion culture believe production team better future learn mistakesoverall actor well couldnt asked lighthearted summer kdrama,0.9871,positive,0.062,0.527,0.411
amirah-55764,10.0,40,30,best romantic comedy drama,show drama waiting role amazing every episode dying laugh like real course love line cringe make think really love together real life im satisfied drama long time didnt watch kdrama really bring old kdrama vibe tho love itits something light drama follow stress recommended please give lot love support yes idol gen snsd pm korean group erakeep support,0.9898,positive,0.032,0.497,0.471
sickbigeyes,3.0,88,184,pas give next person,early episode unbearable watch ive noticed writer production team trying make drama comical comedy hitormiss sadly miss find cringe forcedbeside comedy also dont like fact main lead always seem accidentally place time standing basically two meter away hotel lobby walking away time sake slowmo effect without noticing one anotherremember time park standing couple meter away looking beautiful city skyline park something special park see city skyline place toothey also standing balcony outside respective hotel room guess timein thought already went past clich tolerate maybe episode im sureit truly disappointing since upcoming drama looking forward king land trusted lee jun ho yoona im questioning judgement thisi end dropping series episode five really hope upcoming episode better previous one tho cause there chance might want pick back future way find drama enjoyable im happy,0.9719,positive,0.083,0.687,0.23
vegamarialarcy,9.0,10,4,refresherromcom,muchneeded respite king land heavy darkgenre drama lovable femaleprotagonists primarytosecondaryvillains withinfamily reconciliation highlyanticipatedto add mayhem hotelierbusiness quaintcharacters showbiz asking convenience middle easternguest soenamored w mosttalentedpersonnel conciergewanting marry even mishap publicrelation increase king hotelpatronages etcrelevant hilarityincredible stuntactings impeccable change characterization towards lovetheres crescendo conflict ahead sudden information heirapparent chairman son marriageofconvenience according high societystandardswhat heartbreak must starcrossed arelationship yet gotta moveon forwardoverall refreshingjourney far proving reality kick peopleinlove fatedcant stand way,0.0772,positive,0.078,0.841,0.082
camellia823,10.0,7,2,love,im korean drama fan cant believe addicted show watched way cant get enough agree bit cringe show nowadays varying degree cringingnesswhat like show light easy nature make feel loved happy warmhearted relaxed life already hard enough watch something difficult show make perfect sense long day workthe acting character good job lead character much chemistry make wonder whether lover real life overall would recommend show,0.9821,positive,0.067,0.554,0.379
singhroshni-71995,10.0,7,2,whats hate,one iconic romantic k drama long time sad ending beautiful chemistry lead actor amazing acting junho yoonatotally loved story unfolds fall love harder passing dayjunhos character best ideal man way love lady anything protect he intelligent handsome became junho fan watching drama sureyoona played character really well acting comic timing way support love love work loyal employee hotel,0.9954,positive,0.031,0.374,0.595
meganauli,10.0,7,2,nostalgic feeling romcoms,era best romcoms ever produced stay true plot boy meet girl fall love work relationship bunch goofy friend live happily ever since avoided romcoms like plague especially kdramas mainly none romcoms produced gave light hearted fluttery feeling love romcoms king land first romcom k drama watched staying horrorcrime mystery genre almost yr boy disappointed series gave nostalgic feeling romcoms like blend greatest romcoms think notting hill pretty woman specifically romcoms rely greatly chemistry lead ive seen ljh one crime mystery series confession pretty good lim yoona confidential assignment meh pleasantly surprised find insane chemistry literally made series best romcom dont need complicated mystery romcoms need see growth character work kink romantic relationship series plenty goofy friend romantic holiday banter among necessary element needed perfect romcom want nostalgic feeling romcoms put watch list,0.9955,positive,0.068,0.54,0.392
nashmawi,1.0,60,126,disappointment,king land tv series fails deliver promise engaging storytelling talented performance recycled unoriginal plot viewer subjected monotonous narrative offer nothing new captivating actor lackluster performance add disappointment fail bring depth authenticity character pacing inconsistent dragging already tiresome story production quality subpar cheap set lack attention detail overall king land uninspiring series lack creativity fails make impact save time seek deserving original show,-0.2263,negative,0.205,0.602,0.194
dhitasandra,10.0,7,2,best healing drama ever,ive said platform say ktl best romcom kdrama ive encountered far ive kdramas since plot light fun unnecessary drama toxic relationshipfriendship angsty couple whatsoever drama gave hope healthy mature relationship would look like exist real life think cast scene stealer junho yoona guy also watch bts episode like watching another free romcom would definitely rewatch future ktl become comfort drama,0.9769,positive,0.033,0.604,0.363
sf-54002,1.0,79,175,worst show ever,show zero originality worst show ever seen waste time want time back contains abuse unfortunately worth top writer director produced failed work deserve minute viewer time story trivial nothing get bored first second show cringy tried add funny clip cringey felt like wanted cry instead laughthe comedy forced nothing natural dont feel sorry actor either read script agreed,-0.9016,negative,0.31,0.475,0.214
computerconsulting,10.0,7,2,enjoyable,sure people hating cute comment predictable ever seen hallmark movie know going happen watch anyway im episode plan finish series cute give go wonder someone set offended somebody thats getting low star storyline far cute nothing cringy see area add backstory right hole far eluding ive never seen actor view work hope give try,0.7783,positive,0.109,0.68,0.21
janespotify,10.0,7,2,cute relaxing funny drama,drama really fun watch yes scene may clich still great thing watch relaxing junho yoonahs chemistry great even side cast really good especially manager noh he really funnyi love jealous guwon though really like character developmentsome comment good even try finish story begin funny interesting later episode romantic moment want watch relaxing drama make great mood try one,0.9924,positive,0.035,0.448,0.517
bigguy-79403,10.0,7,2,hate one must hate equally,stand statement basically kdramas hate onethe cinematography amazing production great actor well famous noteach job lead glorious evil sister hateful wanted boo time screen goofy assistant funny girlfriend loyal ask foras story well basically except different venue liked one spoke work hard respective labor sometimes little recognition rewardstop hating something working long good watch,0.9333,positive,0.184,0.456,0.36
natylisa,10.0,7,2,chemistry palpable,loving two lead chemistry palpable look great together loved relationship developed one realize liked first fun seestoryline interesting see hard work go running hotel character super annoying shameless rest cast interaction make bad applesjust watched year anniversary episode found speech touching made event special personallooking forward seeing rest episode cannot wait,0.9601,positive,0.131,0.511,0.358
elenaeem,9.0,7,2,really liked,drama lowrated laughed every episodethis drama perfect spend good time improve mood appart good sense humour good plot see evolution character woman follows dream pass cleaning as sweat gym machine hotel start working hotel plenty smile inmature man full trauma turn admirable hotel leaderit one best comedy romance drama seenp gave vibe whats wrong secretary kim business proposal,0.986,positive,0.067,0.485,0.449
SerialSeriesSpectator,10.0,7,2,incredible kseries spark,series absolutely remarkable flawlessly combine essential element thoroughly enjoyable watch main character fantastic supporting actor complement perfectly plot twist drama action intense romance friendship hardship difficult relationship masterfully executed evoking wide range emotion humour add delightful touch overall splendour show engrossed watched entire series subtitle one day acting topnotch undeniable spark energy two main character screen make unforgettable experience,0.9887,positive,0.053,0.466,0.481
domingabelardo,10.0,20,12,sweet,sweet live character accept life setback determination let liaise zest life pursuit happiness love storyline interaction grandmother future grandson law really like grandma make seem like approve yet show kindness grumpy way really liked samhair character gu interaction like two friend always compete everything always look forward saturday sunday see next episode end weekend smile fun show,0.9895,positive,0.0,0.526,0.474
fauginguene,10.0,21,13,great,nice romance change sure nothing new incredibly original original today give much joy every episodejuhno yoona great acting nice refreshing chemistry visuals chart two nice see acting together knowing yearsi love secondary caracters funny lot fun light romantic comedy wont give headacheoverall great show must watch like korean romantic comedydont listen negative review organised troll,0.9899,positive,0.087,0.401,0.511
latifahkadir-66155,10.0,21,13,worth watch,watch show episode love series light romcom really enjoy main lead good chemistry supporting cast enjoyable watch need ml start fighting evil sister yes cliche romcom type drama make heart fluttering make forget problem work long time ive watch kind drama since nowadays kdrama always produce makjang bullying heavy genre see produce kind drama romcom relieved probably rewatch drama kind genre maybe one,0.9476,positive,0.162,0.504,0.335
bng-63758,9.0,16,9,wait,dedicated junho follower course watch agree beginning series pretty terrible starting find way yoonas character pretty firmly established see going prove drag hotel century fresh blood approach needed understands hotel building spirit endeavor success failure depends people dedicated underpinnings venture staffon side note sort really understand junho took role red sleeve super novaand cannot easily repeated best remedy something light fun man like work laying around waiting prize winning script show waste time listen song lyricsbut bonanza show yoona im also amateur astrologer aquarius perfectly matched yoona gemini chart line well since born month apart many way mirror suggestion take excellent advantage time together two light world together go one thing noticed together show seemed genuinely happy together think might sending u subtle message,0.9892,positive,0.097,0.582,0.321
