Author,Rating,Helpful_upVotes,Helpful_downVotes,Summary,Review,Compound,Sentiment_label,Negative,Neutral,Positive
blebbe,7.0,11,2,lovely romance slow pacing end,series great strong start couple chemistry great start first episode really great episode jumped right storyline without stalling also got introduced great side character storylinesthis series also great balance comedy romance drama king land full cute moment couple also get see comedic moment entertaining dramathe ending series also really strong came late last episode werent nearly good first episode suddenly story started feel really slow repetitive story could ended earlier opinion like last episode tied everything together,0.9913,positive,0.042,0.547,0.411
PalmBeachG,10.0,68,13,best drama long time honest review,king land netflix one best romantic kdramas seen long time finished final episode even though ending predictable romcoms like didnt disappoint love chemistry lead male lee junho handsome smart determined hotel ceo hated smile especially fake smile im yoonah sarang sophisticated smart hotelier work way bottom best talent always smile face great job role love story lee junho unique voice make stand actor plenty sweet kiss romance comedy friendship rate high one show hard wait whole week next episode air unusual see alot hater giving low rating need remember fictional tv show documentary never saw anything place thought anything wrong watched saw every episode loved notice viki well side story amongst love story came ending last episode,0.9898,positive,0.15,0.472,0.378
bbmura,7.0,12,3,definite must see boohiss hater,one best romcoms feature difficult true love world social status inheritance king speak chemistry wonderful gu lee junho chairman son manager king hotel chain cheong sarang im yoonah valued employee king hotel love dedication friend family make true feelgood story screen kisseswow im usually one enjoys comedyromance drama one make believe transformative power true love great friendship definite must see friend lover,0.9945,positive,0.025,0.442,0.534
dutta-nabanita,10.0,30,4,romcom needed,serious story heartbreak good nothing beat good romantic kdrama hardcore villain feel good easy heart story ml walking talking green flag chemistry lead couple fire love kiss kissing dead fish banging lip love love love female friendship normalizing divorce understanding normal boyfriend love husband one friend learn household chore show lightly showed many thing today society need see adapt become one show ill watch gloomy day lee jun ho heart,0.9782,positive,0.189,0.422,0.389
Anime-Kdrama-Cdrama-WINS,10.0,207,56,hate,think fantastic series im yoonah kill every scene wasnt biggest fan either ok thought k facial expression comedic timing impeccable laugh loud dialogue male protagonist also good jobi noticed lot review seem early episode later series banter overconfident jaded male protagonist great way handle gently amusingly mocking time really well donei seen several kdramasrom coms nearly good one much higher reviewsso review make sense mealso typically care comedic duo sidekick many kdramas often annoying try way hard funny series two woman sidekick real problem real story funny scene also male sidekick male protagonist great constantly get away needling bos go show contrary front male protagonist good guyif gave give chance episode banter truly good themjust fair couple thing didnt like either arab prince cliff jump etc fault overall great show worthy revisit review series adjust accordingly like type show disappointed onei reviewed dozen kdramas public list imdb one watched rated time much agreement overall rating series say watch enjoy,0.9916,positive,0.129,0.551,0.32
astrologalexandracoman,10.0,131,33,super series,love watching asian series must admit series lot unfair bad review hater dont understand series really hard worked actor playing well plot nice even stereotype still nice relaxing consider score got imdb totally unfair cannot help wonder deliberately given discredit movie future viewer think people dont understand serious series romantic comedy behave accordingly one totally recommend series want relax think much movie,0.8851,positive,0.204,0.45,0.347
Goldsoldier75,6.0,34,17,better may expect,like many drama start slow guwon sarang dance contact first episode lightly interacting forced though sarang stay prevalent gu won mind get entangled one another becomes tight true love blossoming beautifully captivatingly wonderfully poetic writing outstanding directing solid script workable directing coupled great acting around make feel almost real want cheer gu win feel girl get cheated deserved reward kiss scene one beautiful romantic endearing kissing scene ever watched even past scale episode episode one heartfelt sincere last lee junho im yoonah amazing chemistry corny line delivered feel sweet beautiful instead tacky laughable like many show would beall around well made show great part let lazy review bashing show put give go youll find cheering along time,0.9973,positive,0.049,0.481,0.471
daisyreviews,10.0,73,16,lovely kdrama make smile,im sure people hating much kdrama good one good value hour sleep work watching episode kdrama stayed binge watched episode funny sweet kdrama really well shot big hole scenario wish higher rating really warms heart watch watching kdramas year dont say many really good one try giving chance dismissing itp music tv show also really really good highly recommend,0.9832,positive,0.039,0.521,0.44
nishita-99873,9.0,9,2,understand hate,perfect kdrama never usually write review eing much hate romance twisty family angle super funny classic kdrama really understand hate im writing review seeing finale also amazing drama made laugh cry blush like crazy chemistry main lead storyline side character overall setup drama god lee junho handsome man make blush bad smile god episode six sibling go trip made laugh like crazy goodi absolutely loved drama totally worth wait,0.979,positive,0.166,0.424,0.41
arsghibli,7.0,4,0,super good slow paced romance lot comedy well,sure people giving show low rating find show way better based story hotel king good slow paced romance show lot detail korean culture show people dont exactly need rich good life joining super diferent person different life base critic overpowered people really good wellthe comedy used actor expression nice made feel like watching good old seriesas im fan slower paced romance instead kiss first minute movie even series must see methe fake smile situation atually today issue since show opposite people act course act genuine natural way,0.9884,positive,0.082,0.529,0.389
